epoch,train_loss,val_loss,params
1,1.8627302205121075,1.557672381401062,1209216
2,1.4732489659462447,1.3725501719643087,1209216
3,1.2957857508718231,1.246724661658792,1209216
4,1.225945934837247,1.231517427107867,1209216
5,1.2046550659485806,1.1936264388701494,1209216
6,1.1750003923604517,1.1132811378030216,1209216
7,0.6549817169154132,0.30305147872251625,1209216
8,0.2768833711743355,0.15878844348823323,1209216
9,0.06214024981966725,0.02818382071221576,1209216
10,0.01963881038727216,0.013243129367337507,1209216
