epoch,train_loss,val_loss,params
1,2.405643939971924,2.429896116256714,8560
2,2.398360252380371,2.422487497329712,8560
3,2.391390323638916,2.4153409004211426,8560
4,2.3845608234405518,2.4083070755004883,8560
5,2.3777358531951904,2.401318311691284,8560
6,2.370819330215454,2.3943231105804443,8560
7,2.363760471343994,2.387305736541748,8560
8,2.356560230255127,2.380319118499756,8560
9,2.349285840988159,2.373485565185547,8560
10,2.3420703411102295,2.3669958114624023,8560
1,2.2655794867153825,2.1526012818018594,8560
2,2.089083067302046,2.0324695110321045,8560
3,1.8842290804303925,1.7552402317523956,8560
4,1.6629476444474582,1.6182574927806854,8560
5,1.5674571662113583,1.5103026231129963,8560
6,1.4736633054141342,1.4440288444360097,8560
7,1.4214688786144913,1.401452660560608,8560
8,1.3880642035911823,1.3805887202421825,8560
9,1.3648534725452293,1.3764701783657074,8560
10,1.3453420791132698,1.3417526284853618,8560
