epoch,train_loss,val_loss,params
1,2.1766919172727146,2.068143844604492,667296
2,2.0294849138993483,2.040119171142578,667296
3,1.8934079225246723,1.859859029452006,667296
4,1.789967234318073,1.693192760149638,667296
5,1.6561805284940279,1.6314030488332112,667296
6,1.6208592744973989,1.6069426933924358,667296
7,1.5958851942649255,1.5829306443532307,667296
8,1.567775011062622,1.541400154431661,667296
9,1.5121364685205312,1.4655143022537231,667296
10,1.4557380584570079,1.4174171686172485,667296
