epoch,train_loss,val_loss,params
1,2.1954296577123946,1.9922661851434147,25200
2,1.7806419531504314,1.6825118275249706,25200
3,1.6472216255870866,1.5937542424482458,25200
4,1.5458505359696753,1.4912165613735424,25200
5,1.4633831771803492,1.4361108331119312,25200
6,1.4054000421806618,1.3813899685354794,25200
7,1.3539917748651387,1.340997289208805,25200
8,1.3199015414273296,1.306336339782266,25200
9,1.2957350707348483,1.2818690398160149,25200
10,1.2750329662252355,1.2611597495920517,25200
