epoch,train_loss,val_loss,params
1,2.0117052018642427,1.782236859202385,605568
2,1.6148597598075867,1.4989477396011353,605568
3,1.4720681935548783,1.4090323448181152,605568
4,1.3736513555049896,1.3093204349279404,605568
5,1.2871103018522263,1.2528133541345596,605568
6,1.2487063318490983,1.229860544204712,605568
7,1.267427983880043,1.269803673028946,605568
8,1.2274163752794265,1.2293399572372437,605568
9,1.2131018966436387,1.2386192679405212,605568
10,1.2066060960292817,1.1805974245071411,605568
1,1.8536097634006554,1.5767388105392457,334368
2,1.482428038623971,1.3598045428593954,334368
3,1.296541754628571,1.2471639156341552,334368
4,1.222593043891477,1.138921356201172,334368
