epoch,train_loss,val_loss,params
1,2.397712230682373,2.418822765350342,25200
2,2.3852083683013916,2.405255079269409,25200
3,2.371635913848877,2.3906407356262207,25200
4,2.3570282459259033,2.377930164337158,25200
5,2.344087600708008,2.3700973987579346,25200
6,2.33567476272583,2.3650403022766113,25200
7,2.3302125930786133,2.360137701034546,25200
8,2.3252925872802734,2.35471773147583,25200
9,2.320147752761841,2.3489675521850586,25200
10,2.314805269241333,2.343153476715088,25200
1,2.246722694101005,2.136933426062266,25200
2,1.9549108640900974,1.7669871946175892,25200
3,1.722252539519606,1.6773991485436757,25200
4,1.6587954348531262,1.646192987759908,25200
5,1.6357821637186511,1.6242137451966603,25200
6,1.573804249023569,1.5409244199593861,25200
7,1.496801627093348,1.4796841740608215,25200
8,1.445811639572012,1.464827686548233,25200
9,1.4155970154137447,1.4591471552848816,25200
10,1.38609654533452,1.3682936032613118,25200
